Name,Crystal Structure,Diaphaneity,Specific Gravity,Optical,Refractive Index,Molar Mass,Molar Volume,Calculated Density
Apophyllite,3.0,2.0,2.35,0.0,1.536,190.257803,0.0560697,2.8160000000000003
Aragonite,3.0,2.0,2.95,4.0,1.6340000000000001,84.0878,0.02242321,3.113
Arcanite,3.0,2.0,2.66,4.0,1.495,158.26080000000005,0.033695800000000005,3.898
Archerite,0.0,0.0,0.0,0.0,0.0,103.078802,0.033664700000000006,2.541
Arctite,0.0,0.0,0.0,0.0,0.0,467.38726,0.0897457,4.323
Arfvedsonite,2.0,1.0,3.4,4.0,1.682,642.9583640000002,0.06741060000000001,7.916
Argutite,4.0,1.0,6.28,3.0,2.01,88.6094,0.0112096,6.561
Armalcolite,3.0,0.0,3.82,4.0,0.0,192.3682,0.0336372,4.747
Arsenoclasite,3.0,2.0,0.0,4.0,1.804,620.5606300000002,0.08970295,5.742000000000001
Arsenolite,6.0,3.0,3.87,1.0,1.755,90.92099,0.011209100000000001,6.732
Arthurite,2.0,0.0,0.0,4.0,0.0,311.35019,0.04486528,5.76
Artinite,2.0,3.0,2.02,4.0,1.526,104.34536,0.08964330999999999,0.966
Artroeite,1.0,0.0,0.0,0.0,0.0,325.191428,0.07844628999999999,3.4410000000000003
Ashburtonite,4.0,3.0,4.38,3.0,1.7930000000000001,426.2922,0.0670528,5.277
Astrophyllite,1.0,1.0,3.3,4.0,1.703,1131.4144359999998,0.17938126,5.235
Atacamite,3.0,2.0,3.76,4.0,1.857,196.55938,0.05585618,2.9210000000000003
Aubertite,0.0,0.0,0.0,0.0,0.0,348.150799,0.29115948,0.992
Augelite,2.0,3.0,2.696,4.0,1.579,166.95103999999995,0.033660980000000014,4.117
Augite,2.0,1.0,3.375,4.0,1.72,196.3137,0.033647090000000004,4.843
Aurichalcite,2.0,3.0,3.96,4.0,1.713,640.2484000000002,0.06731653000000001,7.894
Austinite,3.0,2.0,4.12,4.0,1.768,261.39453000000003,0.06723815999999999,3.227
